state_name;affiliation_state;affiliation_country;affiliation_name;citied_by;cover_date;country_name;area_km2
beijing;na;china;tsinghuauniversity;12;2023-04-15;;16251.925428963288
chongqing;na;china;chongqinguniversity;0;2023-04-14;;82362.54643078936
tokyo;na;japan;instituteofindustrialscience;25;2023-04-10;;2183.257105688409
;na;na;na;0;2023-04-10;;
;na;southafrica;absabankltd.;1;2023-04-04;;22789.176045694046
;na;southafrica;absabankltd.;1;2023-04-04;;30.998015667873815
;na;southafrica;absabankltd.;1;2023-04-04;;7.659317640299705
;na;southafrica;absabankltd.;1;2023-04-04;;0.6005401661100286
;na;southafrica;absabankltd.;1;2023-04-04;;3.0224599549822613
;na;southafrica;absabankltd.;1;2023-04-04;;133.29701355842872
;na;southafrica;absabankltd.;1;2023-04-04;;37.868741813126185
;na;china;aviationindustrycorporationofchina,limited;2;2023-04-01;;
beijing;na;china;beijinguniversityoftechnology;8;2023-04-01;;16251.925428963288
;na;na;na;5;2023-04-01;;
;na;austria;bundesforschungszentrumfurwald;10;2023-04-01;;
beijing;na;china;beijinginstituteoftechnology;3;2023-04-01;;16251.925428963288
;na;pakistan;nationaluniversityofsciencesandtechnology;58;2023-04-01;;
;na;poland;ministerstwozdrowia,poland;0;2023-04-01;;
;na;kenya;universityofeldoret;2;2023-04-01;;
beijing;na;china;beijinginstituteoftechnology;3;2023-04-01;;16251.925428963288
seoul;na;southkorea;dongseoulcollege;0;2023-04-01;;577.7896951119151
;na;unitedkingdom;healthdataresearchuk;2;2023-04-01;;
;na;na;na;1;2023-04-01;;
;na;poland;gdanskuniversityoftechnology;9;2023-04-01;;
beijing;na;china;universityofchineseacademyofsciences;12;2023-04-01;;16251.925428963288
beijing;na;china;tsinghuauniversity;4;2023-04-01;;16251.925428963288
shanghai;na;china;keylaboratoryofroadandtrafficengineeringofthestateministryofeducation;8;2023-04-01;;6746.037435237712
chongqing;na;china;southwestuniversity;15;2023-04-01;;82362.54643078936
;na;india;pannalalgirdharlaldayanandanglo-vedic(pgdav)college;73;2023-04-01;;
siirt;na;turkey;siirtuniversitesi;6;2023-04-01;;6465.673072068596
taoyuan;na;taiwan;collegeofmanagement;23;2023-04-01;;1280.2512128382045
dhaka;na;bangladesh;militaryinstituteofscienceandtechnology;44;2023-04-01;;30548.5646266249
;na;serbia;universityofbelgrade;7;2023-04-01;;
;na;norway;universitetetiagder;2;2023-04-01;;
bristol;na;unitedkingdom;universityofbristol;4;2023-04-01;;122.05383831625406
shanghai;na;china;tongjiuniversity;27;2023-04-01;;6746.037435237712
seoul;na;southkorea;hanyanguniversity;39;2023-04-01;;577.7896951119151
beijing;na;china;instituteofgeographicsciencesandnaturalresourcesresearch,chineseacademyofsciences;14;2023-04-01;;16251.925428963288
shanghai;na;china;statekeylaboratoryofoceanengineering;8;2023-04-01;;6746.037435237712
